epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,my_mean_iou,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_my_mean_iou,val_precision_m,val_recall_m,val_subset_accuracy
0,0.6746404767036438,0.6746404767036438,0.030259698629379272,0.9649693965911865,-0.11005516350269318,13.048310279846191,0.047426726669073105,0.33514630794525146,0.8821781277656555,2.177936553955078,0.8700105547904968,0.5247898101806641,0.5247898101806641,0.09040673822164536,0.853252649307251,-0.1255818009376526,7.987439155578613,0.051353923976421356,0.08789718896150589,0.6959378123283386,2.218719244003296,0.8752737045288086
1,0.714842677116394,0.714842677116394,0.0011065352009609342,1.008750319480896,-0.08045675605535507,10.452757835388184,0.02559615485370159,0.37275055050849915,0.9366753101348877,2.175825357437134,0.8729583024978638,0.5249990820884705,0.5249990820884705,0.06037946045398712,0.8995736837387085,-0.13139474391937256,8.76097297668457,0.04634081572294235,0.09012600034475327,0.747367262840271,2.222679376602173,0.8881278038024902
2,0.7318615317344666,0.7318615317344666,0.001252159709110856,1.0051876306533813,-0.08183152228593826,10.279440879821777,0.025809740647673607,0.39704397320747375,0.9408328533172607,2.17106294631958,0.8729825615882874,0.6897499561309814,0.6897499561309814,0.04270881041884422,0.979767918586731,-0.08464371412992477,8.413965225219727,0.023879235610365868,0.34806227684020996,0.935023307800293,2.157790184020996,0.8657456636428833
3,0.7493351697921753,0.7493351697921753,0.0021908553317189217,1.018223524093628,-0.07757822424173355,10.075138092041016,0.022371528670191765,0.41870275139808655,0.9461862444877625,2.1804211139678955,0.8753384351730347,0.4437310993671417,0.4437310993671417,0.1392676681280136,0.4520626664161682,-0.06545130163431168,19.714622497558594,0.11812383681535721,0.17882852256298065,0.47866979241371155,2.0142014026641846,0.8321835398674011
4,0.7238917946815491,0.7238917946815491,0.022480370476841927,0.985382616519928,-0.07373275607824326,10.41044807434082,0.02498939260840416,0.38223472237586975,0.9295769333839417,2.1608991622924805,0.8680021166801453,0.7213093638420105,0.7213093638420105,-0.008092442527413368,1.0177726745605469,-0.09457797557115555,8.968716621398926,0.024638507515192032,0.387575626373291,0.9340941309928894,2.19189453125,0.8837242126464844
5,0.7282188534736633,0.7282188534736633,0.007230991497635841,0.9946614503860474,-0.08146657794713974,10.193496704101562,0.025249062106013298,0.38609468936920166,0.934004008769989,2.167987108230591,0.872178316116333,0.7018954753875732,0.7018954753875732,0.03261417895555496,0.9602124094963074,-0.0635136142373085,21.37694549560547,0.0465271882712841,0.35302969813346863,0.8685777187347412,2.1876919269561768,0.88142991065979
6,0.7472643852233887,0.7472643852233887,-0.002517512533813715,1.0161001682281494,-0.08065729588270187,10.374103546142578,0.0225739236921072,0.41543519496917725,0.946093738079071,2.177375555038452,0.8753798604011536,0.7581425309181213,0.7581425309181213,-0.0030064680613577366,1.0153937339782715,-0.0769081637263298,10.749110221862793,0.022530220448970795,0.4479260742664337,0.9379168748855591,2.1872899532318115,0.8791048526763916
7,0.7433268427848816,0.7433268427848816,0.009180469438433647,1.004648208618164,-0.07657382637262344,9.972504615783691,0.022061742842197418,0.4128735065460205,0.9452893137931824,2.1666979789733887,0.8694964647293091,0.7637033462524414,0.7637033462524414,0.014784464612603188,1.0121111869812012,-0.06853578984737396,10.51264762878418,0.02026708424091339,0.45676907896995544,0.9609488248825073,2.1664958000183105,0.869850754737854
8,0.7646108269691467,0.7646108269691467,-0.01142234355211258,1.0360976457595825,-0.07740934938192368,10.244501113891602,0.020534247159957886,0.43780091404914856,0.9587779641151428,2.1861324310302734,0.8763248920440674,0.7387787103652954,0.7387787103652954,0.037963852286338806,0.9688971638679504,-0.06716951727867126,13.104118347167969,0.022528167814016342,0.42521265149116516,0.9512562155723572,2.136413335800171,0.8655692338943481
9,0.7630506753921509,0.7630506753921509,-0.005851838272064924,1.0323617458343506,-0.07502561062574387,10.400894165039062,0.021504675969481468,0.4380492866039276,0.9571660161018372,2.1841089725494385,0.8747854232788086,0.7637249231338501,0.7637249231338501,-0.04052155837416649,1.0193817615509033,-0.08981123566627502,10.157119750976562,0.019930386915802956,0.4478174149990082,0.95899897813797,2.1768381595611572,0.8733495473861694
