epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
0,0.56408083,0.56408083,0.52725506,0.56913006,0.41613996,0.37394738,0.13413063097045796,0.72104543,0.48647866,0.88990283,0.6783308,0.6783308,0.64270985,0.6715282,0.5341965,0.48652217,0.1295285389973567,0.7860544,0.5918702,0.9052181
1,0.6724017,0.6724017,0.6431788,0.6839824,0.5335979,0.48746237,0.12827362645403179,0.8345598,0.58913577,0.91163176,0.6843554,0.6843554,0.6468857,0.6896142,0.53394276,0.4897779,0.1285372610275562,0.81056964,0.60589725,0.90935296
2,0.70227057,0.70227057,0.66559154,0.7085588,0.55334395,0.5113277,0.12736757833267995,0.8171982,0.63172513,0.91457385,0.70934516,0.70934516,0.6628404,0.72353405,0.5458376,0.5065563,0.1274187303506411,0.82071507,0.6500645,0.9140464
3,0.73608184,0.73608184,0.7023232,0.7433698,0.5870339,0.55234945,0.12594490184295223,0.8038385,0.69354445,0.9211978,0.68997496,0.68997496,0.64954114,0.69159436,0.53076714,0.4918798,0.12894457922532007,0.75231314,0.6414423,0.911774
4,0.7521724,0.7521724,0.7232215,0.75678074,0.6078631,0.57684517,0.12497718109824192,0.81939155,0.7052978,0.9263925,0.66321284,0.66321284,0.6390206,0.66593987,0.5220384,0.48087227,0.13027030619291158,0.72282284,0.6190486,0.90514386
5,0.76653975,0.76653975,0.73806196,0.7661273,0.6237226,0.5948639,0.12431794296507634,0.8270376,0.71561795,0.9290337,0.64775145,0.64775145,0.62342364,0.6472702,0.50325805,0.46390325,0.1318688981808149,0.69040966,0.6102406,0.897146
6,0.7821402,0.7821402,0.7568723,0.784011,0.64471704,0.6180588,0.12362869112427664,0.81856173,0.75310653,0.9314184,0.7075402,0.7075402,0.680624,0.7081433,0.56189334,0.5266118,0.12870024534372182,0.73951435,0.6798825,0.9085349
7,0.8006271,0.8006271,0.7799175,0.8025346,0.67152876,0.6478422,0.1225332405660801,0.82735074,0.77961546,0.9369719,0.69720906,0.69720906,0.6733294,0.69696444,0.55167794,0.5173909,0.12967143058776856,0.71959525,0.67605084,0.9033156
8,0.8025511,0.8025511,0.78332967,0.8044572,0.67604274,0.65233874,0.12243460829573116,0.82761794,0.7829845,0.93741345,0.7101128,0.7101128,0.68836606,0.71122164,0.56786865,0.5344298,0.12864511104730458,0.73322314,0.6908041,0.9083516
9,0.8044267,0.8044267,0.7868875,0.80618757,0.68079287,0.6576625,0.12233057441154202,0.8277629,0.7861541,0.93787193,0.6766292,0.6766292,0.6540156,0.67675805,0.53031474,0.4954823,0.13074870705604552,0.70147336,0.65404046,0.89860564
10,0.81138563,0.81138563,0.7937684,0.8130809,0.6888027,0.6669351,0.12189431031773373,0.8343021,0.793342,0.93977255,0.6806894,0.6806894,0.65683585,0.6785623,0.52780586,0.498007,0.13078139882821302,0.697372,0.6609902,0.89747286
11,0.825251,0.825251,0.8095971,0.82651234,0.7070072,0.68736035,0.12101585703448774,0.84377706,0.8101499,0.943768,0.66731274,0.66731274,0.6464574,0.66470164,0.5164162,0.48600295,0.13157599384968097,0.68165463,0.6487836,0.8934867
12,0.82961655,0.82961655,0.81527215,0.8308239,0.7143252,0.6950234,0.12073748641543919,0.84677744,0.8156584,0.9450675,0.7446835,0.7446835,0.72845745,0.74530166,0.61362517,0.5819529,0.12626708149909974,0.76298463,0.72861767,0.9191968
